Link	Hyperlink
USS Violet	https://en.wikipedia.org/wiki/USS_Violet
USS Virginia (1861)	https://en.wikipedia.org/wiki/USS_Virginia_(1861)
USS Vixen (1861)	https://en.wikipedia.org/wiki/USS_Vixen_(1861)
USS Volunteer (1863)	https://en.wikipedia.org/wiki/USS_Volunteer_(1863)
USS Wabash (1855)	https://en.wikipedia.org/wiki/USS_Wabash_(1855)
USS Wachusett (1861)	https://en.wikipedia.org/wiki/USS_Wachusett_(1861)
USS Wampanoag (1864)	https://en.wikipedia.org/wiki/USS_Wampanoag_(1864)
USS Wamsutta	https://en.wikipedia.org/wiki/USS_Wamsutta
USS Wanderer (1857)	https://en.wikipedia.org/wiki/USS_Wanderer_(1857)
USS Wando (1864)	https://en.wikipedia.org/wiki/USS_Wando_(1864)
USS Warren (1827)	https://en.wikipedia.org/wiki/USS_Warren_(1827)
USS Water Witch (1851)	https://en.wikipedia.org/wiki/USS_Water_Witch_(1851)
USS Wateree (1863)	https://en.wikipedia.org/wiki/USS_Wateree_(1863)
USS Wave (1863)	https://en.wikipedia.org/wiki/USS_Wave_(1863)
USS Weehawken (1862)	https://en.wikipedia.org/wiki/USS_Weehawken_(1862)
USS Western World	https://en.wikipedia.org/wiki/USS_Western_World
USS Westfield (1861)	https://en.wikipedia.org/wiki/USS_Westfield_(1861)
USS Whitehall (1850)	https://en.wikipedia.org/wiki/USS_Whitehall_(1850)
USS Whitehead	https://en.wikipedia.org/wiki/USS_Whitehead
USS Wild Cat	https://en.wikipedia.org/wiki/USS_Wild_Cat
USS Wilderness	https://en.wikipedia.org/wiki/USS_Wilderness
USS William Bacon	https://en.wikipedia.org/wiki/USS_William_Bacon
USS William Badger	https://en.wikipedia.org/wiki/USS_William_Badger
USS William G. Anderson	https://en.wikipedia.org/wiki/USS_William_G._Anderson
USS William H. Brown	https://en.wikipedia.org/wiki/USS_William_H._Brown
USS William Lee (1836)	https://en.wikipedia.org/wiki/USS_William_Lee_(1836)
USS Winnebago (1863)	https://en.wikipedia.org/wiki/USS_Winnebago_(1863)
USS Winnipec	https://en.wikipedia.org/wiki/USS_Winnipec
USS Winona (1861)	https://en.wikipedia.org/wiki/USS_Winona_(1861)
USS Wissahickon (1861)	https://en.wikipedia.org/wiki/USS_Wissahickon_(1861)
USS Wyalusing	https://en.wikipedia.org/wiki/USS_Wyalusing
USS Wyandank	https://en.wikipedia.org/wiki/USS_Wyandank
USS Wyandotte (1853)	https://en.wikipedia.org/wiki/USS_Wyandotte_(1853)
USS Wyandotte (1864)	https://en.wikipedia.org/wiki/USS_Wyandotte_(1864)
USS Wyoming (1859)	https://en.wikipedia.org/wiki/USS_Wyoming_(1859)
USS Yankee (1861)	https://en.wikipedia.org/wiki/USS_Yankee_(1861)
USS Yantic (IX-32)	https://en.wikipedia.org/wiki/USS_Yantic_(IX-32)
USS Young America	https://en.wikipedia.org/wiki/USS_Young_America
USS Young Rover	https://en.wikipedia.org/wiki/USS_Young_Rover
USS Yucca (1864)	https://en.wikipedia.org/wiki/USS_Yucca_(1864)
USS Zeta	https://en.wikipedia.org/wiki/USS_Zeta
USS Zouave	https://en.wikipedia.org/wiki/USS_Zouave
