,name,description,tonnage,propulsion
0,USS Pittsburgh (1861),Gunboat of the United States Navy,,Stern wheeler
0,USS Plymouth (1844),Gunboat of the United States Navy,,Sail
0,USS Pocahontas (1852),Gunboat of the United States Navy,, and sails
0,USS Pontoosuc,Gunboat of the United States Navy,,", "
0,USS Port Royal (1862),Gunboat of the United States Navy,,", side-wheel propelled"
0,USS Portsmouth (1843),Gunboat of the United States Navy,,Sail
0,USS Powhatan (1850),Ship,,", 1,500 hp (1,119 kW), side paddlewheels"
0,USS Preble (1839),Sloop-of-war of the United States Navy,,Sail
0,USS Primrose,Gunboat of the United States Navy,,", screw"
0,USS Quaker City,Gunboat of the United States Navy,,", side wheel-propelled"
0,USS Queen of the West (1854),Sidewheel steamer ram ship,,Steam engine
0,USS Racer (1861),Gunboat of the United States Navy,,sail
0,USS Rachel Seaman (1861),Gunboat of the United States Navy,,schooner sail
0,USS Raritan (1843),M,,Sail
0,USS Rebecca Sims (1801),M,,sail
0,USS Release (1855),Cargo ship of the United States Navy,,Sail
0,USS Relief (1836),Cargo ship of the United States Navy,,Sail
0,USS Restless (1861),Gunboat of the United States Navy,,sail
0,USS Richmond (1860),Gunboat of the United States Navy,,Steam
0,USS Rocket (1862),Tugboat of the United States Navy,, propelled
0,USS Roebuck,Gunboat of the United States Navy,,sail
0,USS Rosalie,Gunboat of the United States Navy,,sail
0,USS Sabine (1855),M,,Sail
0,USS Sagamore (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Sagamore (1861),Gunboat of the United States Navy,, 30-in 
2,USS Sagamore (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Sagamore (1861),Gunboat of the United States Navy,, horizontal 
4,USS Sagamore (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Sam Houston (1861),Gunboat of the United States Navy,, sail
0,USS Samuel Rotan (1861),Gunboat of the United States Navy,,Sail
0,USS San Jacinto (1850),Screw frigate in the US Navy famous for her role in the Trent Affair of 1861,,", screw propeller"
0,USS Santee (1855),Gunboat of the United States Navy,,sail
0,USS Sarah and Caroline,Schooner,, sail
0,USS Sarah Bruen (1862),Gunboat of the United States Navy,, sail
0,USS Saratoga (1842),Sloop-of-war of the United States Navy,,Sail
0,USS Sassacus (1862),Gunboat of the United States Navy,,Steam engine
0,USS Savannah (1842),M,,Sail
0,USS Sciota (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Sciota (1861),Gunboat of the United States Navy,, 30-in 
2,USS Sciota (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Sciota (1861),Gunboat of the United States Navy,, horizontal 
4,USS Sciota (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Sea Bird,Gunboat of the United States Navy,,schooner sail
0,USS Sea Foam (1861),Gunboat of the United States Navy,,sail
0,USS Sebago (1861),Gunboat of the United States Navy,,1 × 590 
1,USS Sebago (1861),Gunboat of the United States Navy,,", 44-inch "
2,USS Sebago (1861),Gunboat of the United States Navy,, by 7 ft 
3,USS Sebago (1861),Gunboat of the United States Navy,, inclined direct-acting 
4,USS Sebago (1861),Gunboat of the United States Navy,,; sidewheels
0,CSS Selma (1856),Steamboat,,Steam engine
0,USS Seminole (1859),Gunboat of the United States Navy,,Sail and 
0,USS Seneca (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Seneca (1861),Gunboat of the United States Navy,, 30-in 
2,USS Seneca (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Seneca (1861),Gunboat of the United States Navy,, horizontal 
4,USS Seneca (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Shepherd Knapp,Gunboat of the United States Navy,,sail
0,USS Sidney C. Jones,Gunboat of the United States Navy,,Sails
0,USS Spuyten Duyvil,Torpedo boat of the United States Navy,,Screw steamer
0,USS St. Lawrence,"Frigate of the United States Navy, launched 1848",,Sail
0,USS St. Louis (1828),Gunboat of the United States Navy,,Sail
0,USS St. Mary's (1844),Sloop-of-war of the United States Navy,,Sail
0,USS Stonewall (1863),Tender of the United States Navy,,sail
0,USS Sumter (1862),525-ton sidewheel paddle streamer,,; 
0,USS Susan Ann Howard,Tender of the United States Navy,, sail
0,USS Susquehanna (1850),Sidewheel steam frigate,,","
0,USS Suwanee (1864),Mohongo-class gunboat,,1 × 58 inch 
1,USS Suwanee (1864),Mohongo-class gunboat,,", 8 ft 9 in "
2,USS Suwanee (1864),Mohongo-class gunboat,, inclined direct-acting 
3,USS Suwanee (1864),Mohongo-class gunboat,, with 
4,USS Suwanee (1864),Mohongo-class gunboat,,; 4 
5,USS Suwanee (1864),Mohongo-class gunboat,,"—2 × main tubular, 2 × superheating; sidewheels"
0,USS Swift (1864),Tender of the United States Navy,, sail
0,USS T. A. Ward,Gunboat of the United States Navy,, sail
0,USS Tacony (1863),Gunboat of the United States Navy,,", side wheel-propelled"
0,USS Tahoma (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Tahoma (1861),Gunboat of the United States Navy,, 30-in 
2,USS Tahoma (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Tahoma (1861),Gunboat of the United States Navy,, horizontal 
4,USS Tahoma (1861),Gunboat of the United States Navy,, engines; single screw
0,CSS Teaser,M,,Steam engine
0,USS Thunder,Tender of the United States Navy,,sloop sail
0,USS Tigress (1861),Gunboat of the United States Navy,,", one "
0,USS Tunxis (1864),M,,Screw steamer
0,USS Tuscumbia (1862),Gunboat of the United States Navy,,"1 x shaft, 4 x steam engines"
0,USS Two Sisters,Gunboat of the United States Navy,,sail
0,USS Unadilla (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Unadilla (1861),Gunboat of the United States Navy,, 30-in 
2,USS Unadilla (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Unadilla (1861),Gunboat of the United States Navy,, horizontal 
4,USS Unadilla (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Uncas (1843),Gunboat of the United States Navy,,", screw-propelled"
0,USS Undine (1863),Gunboat of the United States Navy,,", stern wheel"
0,USS United States (1797),First of the six original frigates of the U.S. Navy,,Sail
0,USS Valparaiso (1836),Cargo ship of the United States Navy,,Clipper sail
0,USS Vandalia (1828),Gunboat of the United States Navy,,Sail
0,USS Velocity (1862),Gunboat of the United States Navy,,sail
0,USS Verbena,Gunboat of the United States Navy,,Screw propeller
0,USS Vermont (1848),Originally intended to be a ship of the line for the U.S. Navy,,sail
0,USS Vincennes (1826),US Navy sloop of war,,Sail
0,USS Virginia (1861),Gunboat of the United States Navy,, 
0,USS Wabash (1855),Gunboat of the United States Navy,,", and "
1,USS Wabash (1855),Gunboat of the United States Navy,, sail
0,USS Wachusett (1861),Gunboat of the United States Navy,,sail and 
1,USS Wachusett (1861),Gunboat of the United States Navy,, backup
0,USS Warren (1827),Gunboat of the United States Navy,,Sail
0,USS Water Witch (1851),US Navy gunboat,,steam
0,USS Wild Cat,Tender of the United States Navy,,sail
0,USS Wilderness,Gunboat of the United States Navy,,Steam engine
0,USS William Bacon,Gunboat of the United States Navy,,schooner sail
0,USS William Badger,Cargo ship of the United States Navy,,sail
0,USS William G. Anderson,Gunboat of the United States Navy,,sail
0,USS Winnipec,Mohongo-class gunboat,,", side-wheel propelled"
0,USS Winona (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Winona (1861),Gunboat of the United States Navy,, 30-in 
2,USS Winona (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Winona (1861),Gunboat of the United States Navy,, horizontal 
4,USS Winona (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Wissahickon (1861),Gunboat of the United States Navy,,2 × 200 
1,USS Wissahickon (1861),Gunboat of the United States Navy,, 30-in 
2,USS Wissahickon (1861),Gunboat of the United States Navy,, by 18 in 
3,USS Wissahickon (1861),Gunboat of the United States Navy,, horizontal 
4,USS Wissahickon (1861),Gunboat of the United States Navy,, engines; single screw
0,USS Wyandotte (1853),Gunboat of the United States Navy,,; one 
